Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
6F peptide,C000622214,,Acute Kidney Injury,MESH:D058186,,SPP1,3.26,2
calfactant,C117342,,Acute Kidney Injury,MESH:D058186,,IL6|TNF,3.26,4
Chitin,D002686,1398-61-4,Acute Kidney Injury,MESH:D058186,,VEGFA,3.26,2
Chlorotrianisene,D002741,569-57-3,Acute Kidney Injury,MESH:D058186,,GSTP1,3.26,1
Desmosterol,D003897,313-04-2,Acute Kidney Injury,MESH:D058186,,INS,3.26,1
Ergosterol,D004875,57-87-4,Acute Kidney Injury,MESH:D058186,,SIRT1,3.26,1
haizao yuhu,C560811,,Acute Kidney Injury,MESH:D058186,,VEGFA,3.26,2
meclocycline,C100122,2013-58-3,Acute Kidney Injury,MESH:D058186,,VEGFA,3.26,2
menthofuran,C054487,494-90-6,Acute Kidney Injury,MESH:D058186,,ALB,3.26,4
Mexiletine,D008801,31828-71-4,Acute Kidney Injury,MESH:D058186,,IL6|TNF,3.26,4
myristicin,C005246,607-91-0,Acute Kidney Injury,MESH:D058186,,BAX|TP53,3.26,2
reparixin,C490707,,Acute Kidney Injury,MESH:D058186,,CD44,3.26,1
Strontium,D013324,7440-24-6,Acute Kidney Injury,MESH:D058186,,SPP1,3.26,2
xiaoluowan,C000716307,,Acute Kidney Injury,MESH:D058186,,VEGFA,3.26,2
2-ethyl-5-carboxypentyl phthalate,C051450,40809-41-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.26,1
gingerenone A,C000604237,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.26,1
Glucagon,D005934,9007-92-5,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.26,1
Voriconazole,D065819,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.26,1
"1,3-dimethoxy-5-methyl-2-(3-methyl-6-(1-methylethenyl)-2-cyclohexen-1-yl)benzene",C552735,,Acute Kidney Injury,MESH:D058186,,NOS3,3.25,1
"2,3,4,6-tetrachlorophenol",C031487,58-90-2,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
"2-amino-3-chloro-1,4-naphthoquinone",C433215,,Acute Kidney Injury,MESH:D058186,,NQO1,3.25,1
"3,4,5-trichlorophenol",C534098,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
"4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid",C584509,,Acute Kidney Injury,MESH:D058186,,CST3|CYP1B1|HBEGF|HSPA1A|IFI35|LCN2|NOS2|SPP1|TGFB1|TNF|TNFRSF12A|TP53,3.25,16
amprenavir,C095108,,Acute Kidney Injury,MESH:D058186,,NOS3,3.25,1
Chloralose,D002698,15879-93-3,Acute Kidney Injury,MESH:D058186,,MPO,3.25,1
ferric-sorbitol-citrate,C421458,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
FK 409,C061872,92454-60-9,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
harmalol,C007904,525-57-5,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
morphiceptin,C028889,74135-04-9,Acute Kidney Injury,MESH:D058186,,MPO,3.25,1
nanocurcumin,C000730654,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
naphthazarin,C005503,475-38-7,Acute Kidney Injury,MESH:D058186,,NQO1,3.25,1
NSC 724998,C553898,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
oleandrigenin,C008701,465-15-6,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
omaveloxolone,C000589490,,Acute Kidney Injury,MESH:D058186,,NQO1,3.25,1
PH 163,C104857,163251-41-0,Acute Kidney Injury,MESH:D058186,,MPO,3.25,1
phostebupirim,C000597695,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
propachlor,C011088,1918-16-7,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
sodium thiosulfate,C017717,10102-17-7,Acute Kidney Injury,MESH:D058186,,MPO,3.25,1
TDP 665759,C508491,,Acute Kidney Injury,MESH:D058186,,TP53,3.25,1
alisol A 24-acetate,C457233,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA,3.25,1
"diisononyl 1,2-cyclohexanedicarboxylic acid",C558012,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.25,2
fenpropimorph,C050435,67306-03-0,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.25,1
nerolidol,C037055,7212-44-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.25,1
"O(2)-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate",C474958,,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.25,1
sesamin,C054125,607-80-7,"Kidney Tubular Necrosis, Acute",MESH:D007683,,SOD2,3.25,1
Tunicamycin,D014415,11089-65-9,"Kidney Tubular Necrosis, Acute",MESH:D007683,,PPARA|SOD2,3.25,2
"2,5-dimethyl-4-benzoquinone",C020617,137-18-8,Acute Kidney Injury,MESH:D058186,,TLR4,3.24,1
3-aminopyridine-2-carboxaldehyde thiosemicarbazone,C078157,143621-35-6,Acute Kidney Injury,MESH:D058186,,IL10,3.24,1
4-chloro-N-(2-((5-trifluoromethyl-2-pyridyl)sulfonyl)ethyl)benzamide,C547957,,Acute Kidney Injury,MESH:D058186,,PPARG,3.24,3
5-methylchrysene,C008422,3697-24-3,Acute Kidney Injury,MESH:D058186,,CYP1B1,3.24,1
A 285222,C494244,,Acute Kidney Injury,MESH:D058186,,GSK3B,3.24,2
