Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
4-octyl itaconate,C000708109,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HMOX1|HP|IL6|LCN2|NFE2L2|NOS2|NQO1|TLR4|TNF,24.22,14
notoginsenoside R1,C072936,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|GSK3B|HMOX1|IL10|IL6|MPO|NFE2L2|NOS2|NOS3|NQO1|PPARG|TNF|UGT1A1,23.96,15
Ditiocarb,D004050,147-84-2,Acute Kidney Injury,MESH:D058186,therapeutic,CP|CYP2C19|GSTP1|HBG2|HMOX1|IL6|NFKB1|NOS2|POMC|SOD1|TNF|TP53,23.91,14
7-hydroxycoumarin,C031477,93-35-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|HMOX1|IL6|MPO|NFE2L2|PPARG|SIRT1|TGFB1|TNF|UGT1A9,23.74,20
montelukast,C093875,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|BAX|CYP1B1|EDN1|GSK3B|HMOX1|IL6|MPO|NFKB1|NOS2|TNF|TP53,23.26,17
"N-(oxo-5,6-dihydrophenanthridin-2-yl)-N,N-dimethylacetamide hydrochloride",C434926,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|BAX|CCR5|CD44|EDN1|GSK3B|HMOX1|IL6|INS|LCN2|MPO|NFKB1|NOS2|NOS3|OCLN|SIRT1|SOD1|SPP1|TGFB1|TNF|TP53|TTR|VEGFA,23.09,28
ambrisentan,C467894,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|EDN1|IL6|NFKB1|NOS3|TNF|VEGFA,23.04,9
diacerein,C025292,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|HMOX1|IL6|LCN2|NFE2L2|SIRT1|TLR4|TNF|VEGFA,23.03,22
N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide,C080955,123653-11-2,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|HMOX1|IL10|IL6|INS|NOS2|POMC|PPARG|TGFB1|TNF|TP53|VEGFA,22.76,16
ferrostatin-1,C573944,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|HMOX1|IL10|IL6|LCN2|NFE2L2|NOS2|OCLN|SOD1|TGFB1|TNF|TP53|VEGFA,22.70,23
resolvin D1,C518399,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HMOX1|IL6|MPO|NFE2L2|NQO1|SOD1|TNF,22.44,9
Thyroxine,D013974,7488-70-2,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|G6PD|IGF1|IL10|IL6|NOS2|NOS3|PPARG|SIRT1|SOD1|TF|TGFB1|TNF|TP53|TTR|UGT1A1|UGT1A9|VEGFA,22.32,23
Dopamine,D004298,51-61-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|CYP2C9|CYP2D6|G6PD|GSTA1|GSTP1|HMOX1|IL10|INS|NOS2|PLG|POMC|SOD1|TGFB1|TLR2|TNF|TP53|VEGFA,22.10,19
Anthocyanins,D000872,,Acute Kidney Injury,MESH:D058186,therapeutic,B2M|BAX|CYP3A23-3A1|HAVCR1|IL10|LCN2|MPO|NOS2|TGFB1|TGFBR1|TNF,21.99,20
Carnitine,D002331,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HMOX1|IL10|IL6|MPO|NFE2L2|NOS2|NOS3|OCLN|PPARG|SIRT1|TGFB1|TNF,21.97,15
Sildenafil Citrate,D000068677,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|EDN1|HMOX1|MPO|NOS2|NOS3|NPPA|PPARG|SOD1|TGFB1|TNF|TP53|VEGFA,21.85,18
Zinc,D015032,7440-66-6,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|AHSG|ALB|AMBP|BAX|BDKRB2|C3|CCT7|CES1C|CLU|CP|CYP2D6|EDN1|EGFR|G6PD|GSK3B|GSTM2|HAVCR1|HBEGF|HMOX1|HP|HPX|HSPA1A|IGF1|IGFBP1|IL10|IL6|INS|KNG1|MCOLN1|MIR10A|MIR151|MIR192|MIR25|MIR30A|MIR335|MIR99A|MPO|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NQO1|OCLN|PLG|PPARG|SERPINA1|SIRT1|SOD1|SPP1|TF|TGFB1|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT2B|VEGFA,20.77,52
cyclo(Trp-Asp-Pro-Val-Leu),C072247,,Acute Kidney Injury,MESH:D058186,therapeutic,AVP|EDN1|EPO|IL10|IL6|NOS2|NPPA|TNF|VEGFA,20.23,15
Amlodipine,D017311,88150-42-9,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|BDKRB2|CYP1B1|EDN1|HAVCR1|IGF1|INS|LCN2|NOS3|NPPA|SOD1|TGFB1|TNF,20.21,24
malvidin,C065861,10463-84-0,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|GSK3B|HMOX1|IL10|IL6|NFE2L2|NOS2|TNF,20.09,10
Pentoxifylline,D010431,6493-05-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|HMOX1|IL10|IL6|MPO|NFKB1|NOS2|SPP1|TGFB1|TGFBR1|TLR4|TNF|VEGFA,20.09,23
Magnesium,D008274,7439-95-4,Acute Kidney Injury,MESH:D058186,therapeutic,C3|EGFR|GSK3B|IL6|INS|KLK1|NOS2|POMC|SOD1|SPP1|TNF|TP53|VEGFA,20.04,17
honokiol,C005499,35354-74-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CD44|IL6|NFKB1|NOS2|NQO1|PPARG|SLC22A12|SOD1|TGFB1|TNF|VEGFA,19.93,16
nilotinib,C498826,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|C3|HMOX1|IL6|NFE2L2|NOS2|TGFB1|TNF|TP53|UGT1A1,19.06,12
rhyncophylline,C052714,76-66-4,Acute Kidney Injury,MESH:D058186,therapeutic,HMOX1|IL6|LCN2|NFE2L2|NQO1|TNF,18.81,12
Gallic Acid,D005707,149-91-7,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|B2M|BAX|EGFR|G6PD|HMOX1|IL10|IL6|MIR122|MIR30A|MPO|MTHFR|NFE2L2|NOS2|NPPA|NQO1|PPARG|SIRT1|SOD1|TGFB1|TNF|TP53|VEGFA,17.36,30
Taurine,D013654,107-35-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|G6PD|GSK3B|GSTA1|HMOX1|IL10|IL6|MPO|NOS2|PPARG|SIRT1|TGFB1|TNF|UGT1A1|VEGFA,17.30,20
rottlerin,C085746,82-08-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|EGFR|GSK3B|HMOX1|IFNA2|IL6|NFE2L2|NQO1|OCLN|PPARG|VEGFA,17.25,15
Xuebijing,C549376,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL6|MIR140|NOS3|TGFB1|TNF,16.24,8
icatibant,C065679,130308-48-4,Acute Kidney Injury,MESH:D058186,therapeutic,BDKRB2|IL6|KLK1|KNG1|TGFB1|TNF,16.00,9
peficitinib,C000608065,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|IL6|TGFB1|TNF|VEGFA,15.98,18
asiatic acid,C017032,464-92-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HMOX1|IL6|NFE2L2|NQO1|SOD1|TNF,15.87,9
Inositol,D007294,6917-35-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|G6PD|HAVCR1|INS|LCN2|NFE2L2|SIRT1|SOD1,15.71,18
"2-(2'-(5-ethyl-3,4-diphenyl-1H-pyrazol-1-yl)biphenyl-3-yloxy)acetic acid",C559288,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1|IL6|LCN2|PPARG,15.20,16
Cromolyn Sodium,D004205,15826-37-6,Acute Kidney Injury,MESH:D058186,therapeutic,CST3|GSK3B|POMC|SLC22A12|SOD1|TGFB1|TNF,14.54,11
sulforaphane,C016766,,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|ALB|ATP5F1B|BAX|BDKRB2|C3|CLU|CST3|CYP1B1|EPHX2|G6PD|GSK3B|GSTA1|GSTP1|HAVCR1|HMOX1|HP|IL10|IL6|INS|KNG1|LRG1|LRP2|MPO|NFE2L2|NFKB1|NOS2|NPPA|NQO1|ORM1|PPARG|SIRT1|SOD1|SPP1|TGFB1|TGFBR1|TLR4|TNF|TNFRSF12A|TP53|UGT1A1|VEGFA,14.25,45
sesamin,C054125,607-80-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL6|NFKB1|NOS2|TNF|VEGFA,14.12,9
leonurine,C013587,24697-74-3,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HMOX1|IL6|NFE2L2|NQO1|TNF,13.94,8
stevioside,C012043,57817-89-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|CYP2C9|EDN1|NFKB1|PPARG|SIRT1,13.91,9
Sodium,D012964,7440-23-5,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|CP|EDN1|IGF1|INS|KLK1|NOS3|POMC|PPARG,13.61,13
"6,7-dimethyl-2-(2E)-3-(1-methyl-2-phenyl-1H-pyrrolo(2,3-b)pyridin-3-yl-prop-2-enoyl)-1,2,3,4-tetrahydroisoquinoline hydrochloride",C508504,,Acute Kidney Injury,MESH:D058186,therapeutic,CST3|HMOX1|NFE2L2|TGFB1|TNF,13.23,9
Sodium Chloride,D012965,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|ATP5F1B|AVP|BAX|CCT7|CD44|EDN1|EGFR|G6PD|GSTP1|HAVCR1|HBEGF|HEXB|HMOX1|HSPA1A|IL10|IL6|LCN2|MPO|NOS3|NPPA|OCLN|POMC|SIRT1|SOD1|SPP1|TGFB1|TNF|TP53|VEGFA,13.16,42
Potassium,D011188,7440-09-7,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|EDN1|GSK3B|IGF1|INS|KLK1|POMC|SIRT1|SLC22A12|TNF,12.98,17
Formoterol Fumarate,D000068759,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|CD44|HAVCR1|IGF1|IL10|IL6|TNF,12.91,17
Carticaine,D002355,23964-58-1,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL6|MPO|TLR4|TNF,12.58,6
Naloxone,D009270,465-65-6,Acute Kidney Injury,MESH:D058186,therapeutic,AVP|BAX|GSK3B|HSPA1A|IL6|MUG1|NPPA|POMC|TLR4|TNF|TP53,12.47,17
ginsenoside Rb1,C442759,,Acute Kidney Injury,MESH:D058186,therapeutic,HMOX1|IGF1|IL6|NFE2L2|TGFB1|TNF,12.22,9
sarpogrelate,C064294,86819-20-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP2D6|IL6|NOS3|TGFB1|TNF|UGT1A9,12.06,8
picolinic acid,C030614,98-98-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IGF1|IL6|NFE2L2|TNF,11.37,7
Dimethyl Sulfoxide,D004121,67-68-5,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|ALB|BAX|CCT7|CP|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|GSTA1|GSTM2|GSTP1|HMOX1|HP|HSPA1A|IL6|MPO|NFE2L2|NOS2|NQO1|OCLN|ORM1|POMC|PPARG|SIRT1|TF|TGFB1|TNF|TNFRSF12A|UGT1A9,11.00,25
Propylthiouracil,D011441,51-52-5,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,POMC|SOD2,10.39,4
Decitabine,D000077209,2353-33-5,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|ATP5F1B|B2M|BAX|CD44|CLU|CST3|CYP1B1|EGFR|EPO|FSTL1|GAS6|GSK3B|GSTM2|GSTP1|HBG2|HEXB|HMOX1|IFNA2|IL10|IL6|INS|MIR122|MIR152|MIR99A|MPO|NFE2L2|NFKB1|NOS2|NOS3|NQO1|PPARG|SERPINA1|SPP1|TGFB1|TLR4|TNF|TP53|UGT1A1|VEGFA,10.27,42
Royal Jelly,D000099219,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|GSK3B|NFE2L2|TNF|VEGFA,10.19,9
pifithrin,C121565,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|C3|CYP1B1|EDN1|NFKB1|NOS2|TNF|TP53,10.16,10
tetrahydrocurcumin,C096277,36062-04-1,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|NOS2|NOS3|TNF,10.08,7
1-aminobenzotriazole,C033020,1614-12-6,Acute Kidney Injury,MESH:D058186,therapeutic,CYP2C9|CYP2D6|HAVCR1|HMOX1|LCN2,9.90,15
estradiol 3-benzoate,C074283,50-50-0,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|AVP|BAX|C3|CCR5|CLU|CYP1B1|EGFR|HAVCR1|HMOX1|IGF1|IL10|IL6|KNG1|LCN2|LRG1|MPO|OCLN|SLC11A1|SOD1|SPP1|TF|TNF|TP53|UGT1A1|UOX,9.87,30
phillyrin,C075528,,Acute Kidney Injury,MESH:D058186,therapeutic,B2M|BAX|GSK3B,9.87,7
Pravastatin,D017035,81093-37-0,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|CYP3A23-3A1|EDN1|EPHX2|HMOX1|IL6|NOS2|NOS3|PPARG|SIRT1|TNF|TP53,9.85,15
pycnogenols,C024070,,Acute Kidney Injury,MESH:D058186,therapeutic,IL6|MPO|PPARG|TNF,9.76,7
"Sodium, Dietary",D012982,,Acute Kidney Injury,MESH:D058186,therapeutic,KLK1|NOS3|NPPA|TGFB1,9.72,7
gap 27 peptide,C455880,,Acute Kidney Injury,MESH:D058186,therapeutic,HAVCR1|IL6|LCN2,9.55,14
aucubin,C006650,479-98-1,Acute Kidney Injury,MESH:D058186,therapeutic,HMOX1|IL6|SPP1|TGFB1|TNF,9.45,8
Glucaric Acid,D005937,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CYP1B1|IL6|NFKB1,9.31,5
acetyl-aspartyl-glutamyl-valyl-aspartal,C099158,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL6|LCN2|NFE2L2,8.91,8
resiniferatoxin,C024353,57444-62-9,Acute Kidney Injury,MESH:D058186,therapeutic,IL10|KNG1|NOS2|TNF,8.68,6
3-aminobenzamide,C025160,,Acute Kidney Injury,MESH:D058186,therapeutic,INS|MPO|PPARG|SPP1|TP53,8.39,7
Thymidine,D013936,50-89-5,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|EDN1|HMOX1|IGF1,7.94,5
Phosphates,D010710,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|GAS6|NFE2L2|SPP1|TNF,7.65,11
propargylglycine,C009055,64165-64-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|SOD1|TNF,7.50,5
mangostin,C021053,6147-11-1,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|BDKRB2|TNF|TP53,7.49,5
Sunitinib,D000077210,,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|CLU|CST3|CYP1B1|EDN1|EGFR|FSTL1|G6PD|GPNMB|GSTA1|GSTM2|HBEGF|HEXB|HIPK1|HMOX1|IL10|IL6|MCOLN1|MPO|MTHFR|NFE2L2|NFKB1|NOS2|NPPA|NQO1|OCLN|PPARG|RAPGEF3|SIRT1|SOD1|TGFB1|TGFBR1|TNF|TNFRSF12A|TP53|UGT1A1|VEGFA,7.38,40
fidarestat,C077139,136087-85-9,Acute Kidney Injury,MESH:D058186,therapeutic,IL6|NOS2|TNF,7.32,6
"fructose-1,6-diphosphate",C029063,488-69-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|NOS2|TP53,7.24,4
"4-benzyl-2-methyl-1,2,4-thiadiazolidine-3,5-dione",C494356,,Acute Kidney Injury,MESH:D058186,therapeutic,GSK3B|NFE2L2|TP53,6.53,4
lithospermate B,C061091,122021-74-3,Acute Kidney Injury,MESH:D058186,therapeutic,NFE2L2|PPARG|SIRT1,6.46,6
Palm Oil,D000073878,,Acute Kidney Injury,MESH:D058186,therapeutic,B2M|C3|CD44|CLU|CP|CYP1B1|FSTL1|GPNMB|GSK3B|GSTM2|HMOX1|HP|IFI35|IGF1|IGFBP1|IL6|LCN2|LRG1|NQO1|ORM1|PPARG|SLC11A1|SPP1|TGFB1|TLR4|TNF|TNFRSF12A|UGT1A1|UGT1A9,6.31,27
Fomepizole,D000077604,7554-65-6,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,POMC|PPARA,6.31,4
benzamide,C037689,27208-38-4,Acute Kidney Injury,MESH:D058186,therapeutic,EGFR|NOS2|SIRT1|TNF,5.90,7
Amifostine,D004999,20537-88-6,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL6|MPO|TP53,5.88,4
JBP 485,C412308,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|HAVCR1,5.79,13
Sialic Acids,D012794,,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|TLR4,5.66,3
Leucovorin,D002955,58-05-9,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|EDN1|G6PD|IL6|MTHFR|PPARG,5.53,20
"2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid",C070066,17087-36-4,Acute Kidney Injury,MESH:D058186,therapeutic,TNF|TP53,5.32,5
AST 120,C040896,90597-58-3,Acute Kidney Injury,MESH:D058186,therapeutic,SPP1|TGFB1,5.13,4
Alprostadil,D000527,745-65-3,Acute Kidney Injury,MESH:D058186,therapeutic,IL6|NOS2|NPPA|TNF,5.05,10
epigallocatechin gallate,C045651,989-51-5,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|CD44|CYP1B1|EDN1|EGFR|GSK3B|GSTA1|GSTM2|GSTP1|HBEGF|HMOX1|IGF1|IL10|IL6|MIR122|MPO|NFE2L2|NFKB1|NOS2|NOS3|NQO1|POMC|PPARG|SIRT1|SOD1|TGFB1|TGFBR1|TLR2|TLR4|TNF|TNFRSF12A|TP53|VEGFA,4.64,30
trichostatin A,C012589,58880-19-6,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|ALB|ATP5F1B|B2M|BAX|CCR5|CD44|CLU|CP|CST3|CYP1B1|EDN1|EGFR|FSTL1|GPNMB|GSTM2|GSTP1|HBEGF|HMOX1|IGF1|IL6|KNG1|LRP2|MCOLN1|MIR10A|MPO|NFE2L2|NFKB1|NOS2|NPPA|NQO1|OCLN|ORM1|PLG|SIRT1|SPP1|TGFB1|TGFBR1|TNF|TNFRSF12A|TP53|UGT1A1|ZNF644,4.56,42
Nisoldipine,D015737,63675-72-9,Acute Kidney Injury,MESH:D058186,therapeutic,EDN1|GSTP1,4.50,3
Bezafibrate,D001629,41859-67-0,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,FABP1|POMC|PPARA,4.41,4
Fenoldopam,D018818,67227-56-9,Acute Kidney Injury,MESH:D058186,therapeutic,NOS2|TGFB1|TLR2,4.29,4
Plant Extracts,D010936,,Acute Kidney Injury,MESH:D058186,therapeutic,ALB|BAX|BDKRB2|CCR5|CD44|CP|CYP1B1|CYP2C19|CYP2C9|CYP2D6|CYP3A23-3A1|EDN1|EGFR|EPO|G6PD|GAS6|GSK3B|GSTA1|GSTM2|GSTP1|HBEGF|HEXB|HMOX1|IFI35|IGF1|IGFBP1|IL10|IL6|INS|KLK1|MIR143|MIR23A|MIR25|MIR26A1|MIR30A|MIR99A|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|PPARG|SERPINA1|SIRT1|SLC22A12|SOD1|SPP1|TF|TGFB1|TLR2|TLR4|TNF|TP53|TTR|VEGFA|ZNF644,4.24,52
Flunarizine,D005444,52468-60-7,Acute Kidney Injury,MESH:D058186,therapeutic,GSTP1|HEXB,4.07,3
Ganciclovir,D015774,82410-32-0,Acute Kidney Injury,MESH:D058186,therapeutic,TNF|TP53,4.04,5
cobaltous chloride,C018021,7646-79-9,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,FABP1|POMC|PPARA|SOD2,3.92,6
Misoprostol,D016595,59122-46-2,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|IL10|TNF,3.76,4
Quercetin,D011794,117-39-5,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,FABP1|POMC|PPARA|SOD2,3.62,6
diphenylmethyl selenocyanate,C495419,,Acute Kidney Injury,MESH:D058186,therapeutic,NOS2,3.55,2
naringenin,C005273,480-41-1,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,PPARA|SOD2,3.54,3
Analgesics,D000700,,Acute Kidney Injury,MESH:D058186,therapeutic,UGT1A1,3.41,2
Carbidopa,D002230,38821-49-7,Acute Kidney Injury,MESH:D058186,therapeutic,BAX|TNF,3.34,4
Prednisone,D011241,53-03-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,POMC|PPARA,3.24,5
Resveratrol,D000077185,,Acute Kidney Injury,MESH:D058186,therapeutic,AHSG|ALB|ATP5F1B|B2M|BAX|BDKRB2|C3|CCR5|CD44|CES1C|CLU|CST3|CYP1B1|CYP2C19|CYP2C9|CYP2D6|EDN1|EGFR|EPHX2|EPO|FSTL1|G6PD|GAS6|GSK3B|GSTA1|GSTP1|HAVCR1|HBG2|HEXB|HIPK1|HMOX1|HP|HPX|HSPA1A|IFI35|IGF1|IGFBP1|IL10|IL20|IL6|INS|KLK1|LCN2|MIR10A|MIR122|MIR143|MIR146B|MIR148A|MIR152|MIR23A|MIR25|MIR26A1|MIR30A|MIR30D|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|POMC|PPARG|SERPINA1|SIRT1|SOD1|SPP1|TF|TFF3|TGFB1|TGFBR1|TLR2|TLR4|TNF|TP53|TTR|UGT1A1|UGT1A9|VEGFA,3.17,68
Dexamethasone,D003907,50-02-2,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|AHSG|ALB|ATP5F1B|AVP|B2M|BAX|C3|CES1C|CLU|CP|CST3|CYP1B1|CYP2C19|CYP2C9|CYP3A23-3A1|EDN1|EGFR|EPHX2|EPO|FSTL1|G6PD|GAS6|GPNMB|GSK3B|GSTA1|GSTM2|GSTP1|HBEGF|HEXB|HIPK1|HMOX1|HP|HSPA1A|IFI35|IGF1|IGFBP1|IL10|IL6|INS|KNG1|LCN2|LRG1|MCOLN1|MIR148A|MIR335|MPO|MTHFR|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|POMC|PPARG|RAPGEF3|SERPINA1|SIRT1|SOD1|SPP1|TF|TGFB1|TGFBR1|TLR4|TNF|TNFRSF12A|TP53|TTR|UGT1A1|UGT1A9|UGT2B|VEGFA|ZNF644,3.09,66
Prednisolone,D011239,50-24-8,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,POMC|SOD2,3.03,4
pirinixic acid,C006253,50892-23-4,Acute Kidney Injury,MESH:D058186,therapeutic,A2M|AFM|AHSG|ALB|AMBP|AMN|B2M|BAX|C3|CCR5|CCT7|CD44|CES1C|CLU|CP|CST3|CYP1B1|CYP3A23-3A1|EGFR|EPHX2|EPO|FSTL1|GAS6|GC|GSTA1|GSTM2|GSTP1|HAVCR1|HBEGF|HEXB|HMOX1|HP|HPX|HSPA1A|IGF1|IGFBP1|IL10|IL6|KLK1|KNG1|LCN2|LRG1|MCOLN1|MPO|MTHFR|MUG1|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|ORM1|PLG|PPARG|SERPINA1|SLC22A12|SOD1|SPP1|TF|TGFB1|TLR2|TLR4|TNF|TP53|TTR|UGT1A1|UGT1A9|UGT2B|UOX|VEGFA,3.02,58
Anticoagulants,D000925,,Acute Kidney Injury,MESH:D058186,therapeutic,CYP2C9,2.96,2
Cysteine,D003545,52-90-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,SOD2,2.83,2
Adrenal Cortex Hormones,D000305,,Acute Kidney Injury,MESH:D058186,therapeutic,EDN1|POMC,2.73,7
"Drugs, Chinese Herbal",D004365,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,PPARA|SOD2,2.51,3
Methylprednisolone,D008775,83-43-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,SOD2,2.40,2
Acetylcysteine,D000111,616-91-1,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,POMC|PPARA|SOD2,2.27,5
"2,3-dihydroxybenzoic acid",C009135,303-38-8,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
3-(2-(3-guanidino-2-methyl-3-oxo-propenyl)-5-methylphenyl)-N-isopropylidene-2-methyl-acrylamide dihydrochloride,C118956,,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
bimoclomol,C108730,,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
Cilastatin,D015377,82009-34-5,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
diethyl sulfoxide,C454662,,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
H290-51,C088233,,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
rolofylline,C073525,,Acute Kidney Injury,MESH:D058186,therapeutic,,,2
Ticarcillin,D013982,34787-01-4,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
tirilazad,C053355,110101-66-1,Acute Kidney Injury,MESH:D058186,therapeutic,,,1
23-hydroxytormentic acid,C511643,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
bardoxolone methyl,C445068,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
bis(4-nitrophenyl)phosphate,C002887,645-15-8,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
D-glucaro-delta-lactam,C001845,31675-02-2,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
Emulsions,D004655,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
erdosteine,C048498,84611-23-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
Fosfomycin,D005578,23155-02-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
imisopasem manganese,C121876,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
Nitrendipine,D009568,39562-70-4,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
"N,N'-diphenyl-4-phenylenediamine",C004845,74-31-7,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
"O(2)-vinyl-1-(pyrrolidin-1-yl)diazen-1-ium-1,2-diolate",C107010,,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,1
Piperonyl Butoxide,D010882,51-03-6,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,2
Probenecid,D011339,57-66-9,"Kidney Tubular Necrosis, Acute",MESH:D007683,therapeutic,,,3
2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one,C093973,,Acute Kidney Injury,MESH:D058186,,ALB|BAX|CCR5|CYP1B1|CYP2C9|EDN1|EGFR|G6PD|GSK3B|GSTP1|HBEGF|HMOX1|IGF1|IGFBP1|IL10|IL20|IL6|INS|KNG1|MPO|NFE2L2|NFKB1|NOS2|NOS3|NPPA|NQO1|OCLN|PLG|POMC|PPARG|SOD1|SPP1|TF|TFF3|TGFB1|TLR2|TLR4|TNF|TP53|UGT1A1|VEGFA,58.98,43
